"school_permalink","school_name","short_description","description","image_url","homepage_url","created_at","updated_at","headquarters_country","headquarters_city","headquarters_lat","headquarters_lng"
"saint-josephs-college-rensselaer","Saint Josephs College, Rensselaer",NA,"The Saint Joseph’s College in Rensselaer, Indiana, is a primarilyundergraduate Catholic college founded and sponsored by the Missionariesof the Precious Blood that provides an educational experience in theliberal arts and allows for intellectual and spiritual growth.The school offers more than 50 student clubs and organizations, withinterests that are academically, culturally, spiritually andprofessionally oriented. Student life at the college is active, withstudents performing original poetry, fiction and music at the college’scoffeehouse, volunteering in community outreach events, visiting museumsor entering campus-wide contests.As a commitment to its faith heritage, the school offers many campusministry opportunities. These include spirituality programs, socialjustice activities, retreats, liturgies and more.Academics include bachelor’s degrees in a number of fields, such as Art,Religion, Education, Nursing and more. The school offers study abroadopportunities, as well as an MBA program.Admissions are considered on a rolling basis. Applicants are required tosubmit official high school or GED transcripts, an online application andACT/SAT scores. To be considered for financial aid, the school recommendsapplying early.Students who complete a FAFSA will be considered to receive financialaid. The State of Indiana and Saint Joseph’s offer grants andscholarships. Other options include federal Pell grants, Perkins loans,Stafford loans and more.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Saint-Josephs-College-Rensselaer-D918F76C.jpg","http://www.saintjoe.edu/",2014-04-20,2015-05-19,"United States","Rensselaer",40.9387,-87.1589
"saint-louis-university","Saint Louis University","Saint Louis University is a Catholic Jesuit institution that focuses on academic excellence, research, health care andcommitment to faith.","Saint Louis University is a Catholic, Jesuit institution with campuses in St. Louis, Mo. and Madrid, Spain. SLU values academic excellence, life-changing research, compassionate health care, and a strong commitment to faith and service. For nearly 200 years, the University has gone beyond teaching facts and figures, encouraging students to form ideas and identities. Today, SLU students are nearly 14,000 strong, seeking to mold their lives into something stronger.The University has invested vast resources to advance academic programs and enhance the student experience. SLU also is a major research institution where premier researchers tackle local and global challenges. And the University's commitment to community service has earned it national acclaim and bolstered its status as a character-building college.In SLU's classrooms, ethics, spirituality and compassion are fundamental, no matter what the subject. More than 80 of SLU's courses integrate service into academics. And this spirit pervades campus; SLU students, faculty and staff provide more than a million service hours each year.In addition, Saint Louis University is a major catalyst for urban renewal in the heart of a remarkable city. The University has funded more than 850 million in campus improvements and expansions during the past 25 years. And its annual economic impact on the region exceeds 715 million.Founded in 1818, SLU was the first university west of the Mississippi River. As it approaches 200 years, Saint Louis University is going boldly forward with an unwavering commitment to a higher purpose, a greater good.","http://public.crunchbase.com/t_api_images/v1397186990/fcb461568fdc13d3972ccc1b01a87e05.png","http://slu.edu",2013-06-25,2016-01-26,"United States","St Louis",38.63162,38.63162
"saint-louis-university-2","Saint Louis University",NA,"Saint Louis University (SLU) has a proud academic tradition spanningnearly 200 years. A leading research university, SLU offers rigorousacademics in a personalized learning environment. The school maintains astudent-to-faculty ratio of about 13:1, with an average class size under25.SLU comprises nearly 20 schools, colleges and academic divisions. Morethan 85 undergraduate majors are available, as well as a number ofgraduate degree programs. In addition to these opportunities, many SLUstudents choose to take classes abroad at the university’s second campusin Madrid, Spain.Though it prides itself on its strong academics, Saint Louis Universityplaces equal importance on personal growth. Student life at SLU offers awide range of ways to get involved, from athletics to ministry tocommunity service.To apply for financial aid at SLU, you must complete the FAFSA. Theuniversity also offers merit awards, renewable for four years, toincoming students. These awards are based on your high school GPA.Financial aid is also available for graduate programs; contact theappropriate department for more information.SLU’s admissions process varies based on the type of application. Thepriority deadline for most scholarship consideration is December 1, butspecial programs, including graduate programs, may have differentdeadlines and procedures. Visit SLU’s website for more information.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Saint-Louis-University-56D6AC4B.jpg","http://www.slu.edu/",2014-04-20,2015-09-01,"France","Saint-louis-de-montferrand",38.636,-90.2332
"saint-louis-university-madrid-campus","Saint Louis University Madrid Campus",NA,NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/SLU_wordmark.png/375px-SLU_wordmark.png","http://spain.slu.edu",2014-04-20,2015-11-24,"Spain","Madrid",40.4165,40.4165
"saint-marys-university-of-minnesota","Saint Mary's University of Minnesota",NA,"If you are looking for a high-quality education in the Saint John BaptiseDe La Salle Catholic tradition at one of the only seven Lasallianuniversities in the nation, then Saint Mary’s University of Minnesota inWinona, Minnesota, may be the place for you.To uphold its Lasallian heritage, Saint Mary’s is dedicated to academicexcellence in both teaching and learning. The university’s ethical andcultural practices reflect the values of the Catholic faith, which aredesigned to nourish students’ total development.Saint Mary’s academics are available in a variety of concentrations inliberal arts fields like:  * Biophysics  * Music  * Journalism  * Political Science  * TheologyThe university’s Office of Campus Ministry ensures that students haveeasy access to many leadership and worship opportunities. More than 20student-led faith organizations coordinate events on campus andthroughout the community.To provide an enriching college life outside of the classroom, SaintMary’s offers many exciting social and academic activities. From art andmulticultural events to guest speakers to student government programs,there is always something fun happening on campus.Students who want to take on leadership roles within the studentcommunity can join one of the many sororities and fraternities.Saint Mary’s determines admissions on a rolling basis, allowing studentsto apply at any time throughout the year. Applicants must submit acompleted application, official high school transcripts, ACT/SAT scoresand letters of recommendation.To assist eligible students pay for tuition, Saint Mary’s offersfinancial aid through a variety of institutional and Lasallianscholarships, grants and direct student loans.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Saint-Marys-University-of-Minnesota-C80A3B62.jpg","http://www.smumn.edu/",2014-04-20,2015-11-29,"United States","Winona",44.0456,-91.6964
"saint-marys-college-of-california","Saint Marys College of California","Saint Mary's College of California is a private, coeducational college located in Moraga, California, United States.","Saint Marys is a Catholic liberal arts college, rooted in the life and work of Saint John Baptist de La Salle, founder of the Christian Brothers and the patron saint of teachers.  It is committed to social justice, respect for all persons, and the power of education to transform lives.  Saint Mary's was founded in 1863, one of the oldest schools in the West, planted firmly in the 21st century on a foundation of strong values.  At the heart of our curriculum is Collegiate Seminar, in which undergraduates read and discuss great works and learn how to listen.  The college operates on a 4-1-4 calendar schedule, which means that during January term students can travel to entirely different points on the globe, lend a hand to others, explore new ideas or take a courageous step towards personal change.","http://public.crunchbase.com/t_api_images/v1408567082/d9qkdydo8mpbnqgbgaod.jpg","http://www.stmarys-ca.edu/",2014-04-20,2016-02-02,"United States","Moraga",37.8428,-122.1146
"saint-michaels-college","Saint Michaels College",NA,"With its small, closely-knit community, Saint Michael’s College in Colchester, Vermont epitomizes a small New England college. As a Catholic school, St. Michael’s also embodies the Catholic ideals of service and social justice. Academics are, therefore, taught from an ethical and moral perspective. Whether it’s Art, Environmental Studies, Gender Studies, Psychology or Religion, students enrolled in one of Saint Michael’s more than 25 undergraduate programs are asked to examine their studies in the context of these larger questions. These notions of ethics and compassionate service are not just confined to the classroom. Many students also engage in community service and volunteer work. Students also engage in campus ministry as well as other student life activities.  Since almot all of St. Michael’s students live on campus, it is easy to get to know and participate with others in everything that St. Michael’s has to offer. Admission to Saint Michael’s is not simply based on grades and standardized test scores. Students must also exhibit a commitment to service, social justice and spiritual growth.Financial aid is available to those who qualify, and can be used to help cover tuition costs.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Saint-Michaels-College-DE4FC3EE.jpg","http://www.smcvt.edu/",2014-04-20,2015-09-10,"United States","Colchester",44.4928,-73.1651
"saint-norbert-college","Saint Norbert College",NA,"The St. Norbert College in De Pere, Wisconsin is a Catholic liberal artscollege that embraces the Norbert idea of communio, an educationalenvironment that encourages intellectual, spiritual and personaldevelopment.Dedicated to its heritage of faith, the school encourages students toexplore its history and become involved in campus ministries. Studentsmay also attend a service at one of the first college parishes in thenation, Old St. Joseph Church.More than half of the student body participates in the many student clubsand organizations. The school has more than eight fraternities andsororities, with both academic and social interests. Students may alsoget involved in college life by working with the two student publicationsor joining one of the 19 musical and performance ensembles.Students have easy access to a wide array of cultural and socialopportunities. The campus contains a number of excellent facilities,including the Bush Art Center, Abbot Penngings Hall of Fine Arts andMichels Common.Academics are offered in three divisions: Humanities and Fine Arts,Social Sciences and Natural Sciences. The school also offersinterdisciplinary majors and extra-divisional programs, designed forstudents with interests that reach beyond one concentration. Graduatedegrees are available in Education and Theological Studies.Admissions require students to submit an official high school transcript,ACT/SAT scores and a high school counselor evaluation.St. Norbert College encourages students to file a FAFSA to be consideredfor financial aid through merit-based institutional scholarships, grants,loans and work-study programs.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Saint-Norbert-College-9E69DF21.jpg","http://www.snc.edu/",2014-04-20,2015-05-19,"United States","De Pere",44.4451,-88.0655
"saint-petersburg-state-polytechnical-university","Saint Petersburg State Polytechnical University",NA,NA,NA,"http://www.spbstu-eng.ru/",2014-04-20,2015-07-14,NA,NA,NA,NA
"saint-petersburg-state-university","Saint Petersburg State University","Founded in 1724, St. Petersburg State University is the oldest institution of higher education in Russia.","Founded in 1724, St. Petersburg State University is the oldest institution of higher education in Russia.  During the 290 years of its existence University secured the right to be acknowledged as one of the best institutions of higher education in Russia: its rich history, modern large-scale research activities, development and innovations make University ahead of the curve in the field of Russian science.At present, there are more than 32,000 students in University, receiving education in more than 323 specialties in 24 faculties. University's staff comprises almost 14,000 people, including nearly 6,000 teachers (1,000 Doctors of Science, over 2,000 Candidates of Science, 42 Academicians of state academies) who represent 289 academic departments. The University has everything to enjoy studies, hobbies and research: the richest Research Library named after Maksim Gorky, research institutes, museums, the big University publishing house, the University choir of students, graduates and teachers, clubs (from rugby and orienteering to the Ingria  search party), etc. In November 2009, Russian President Dmitry Medvedev signed a law granting St. Petersburg State University the special status of \"a unique scientific and education complex, an oldest institution of higher education in Russia being of a great importance to the development of the Russian society\". The right of giving its own diplomas with the official symbols of the Russian Federation has also been granted to University.","http://public.crunchbase.com/t_api_images/v1441199278/divzcdsfbfhn2l6vdivj.png","http://eng.spbu.ru/",2014-04-20,2016-01-31,"Russian Federation","Saint Petersburg",59.93863,59.93863
